sn,sex,treatment
1,M,V
2,M,C
3,M,C
4,M,V
5,M,V
6,M,V
7,M,V
8,M,C
9,M,C
10,M,V
11,M,V
12,M,C
13,M,V
14,M,C
15,M,C
16,M,C
17,M,C
18,M,C
19,M,V
20,M,C
21,M,C
22,M,C
23,M,V
24,M,C
25,M,V
26,M,V
27,M,C
28,M,V
29,M,C
30,M,V
31,M,C
32,M,C
33,M,V
34,M,V
35,M,V
36,M,V
37,M,C
38,M,C
39,M,C
40,M,C
41,M,V
42,M,C
43,M,C
44,M,V
45,M,V
46,M,V
47,M,V
48,M,C
49,M,C
50,M,C
51,M,V
52,M,V
53,M,V
54,M,C
55,M,V
56,M,C
57,M,C
58,M,V
59,M,V
60,M,C
61,M,C
62,M,V
63,M,V
64,M,C
65,M,V
66,M,C
67,M,V
68,M,V
69,M,C
70,M,C
71,M,V
72,M,V
73,M,C
74,M,C
75,M,V
76,M,V
77,M,C
78,M,V
79,M,C
80,M,C
81,M,C
82,M,V
83,M,V
84,M,V
85,M,V
86,M,C
87,F,C
88,F,V
89,F,V
90,F,C
91,F,V
92,F,V
93,F,V
94,F,C
95,F,V
96,F,V
97,F,C
98,F,C
99,F,V
100,F,C
101,F,C
102,F,C
103,F,V
104,F,C
105,F,C
106,F,C
107,F,V
108,F,C
109,F,C
110,F,C
111,F,C
112,F,C
113,F,V
114,F,V
115,F,V
116,F,V
117,F,C
118,F,C
119,F,C
120,F,C
121,F,V
122,F,C
123,F,V
124,F,C
125,F,C
126,F,V
127,F,C
128,F,V
129,F,V
130,F,C
131,F,C
132,F,V
133,F,V
134,F,V
135,F,V
136,F,C
137,F,V
138,F,C
139,F,C
140,F,C
141,F,C
142,F,C
143,F,V
144,F,V
145,F,V
146,F,C
147,F,V
148,F,C
149,F,C
150,F,V
151,F,C
152,F,V
153,F,C
154,F,V
155,F,V
156,F,C
157,F,V
158,F,V
159,F,V
160,F,V
161,F,V
162,F,V
163,F,V
164,F,V
165,F,C
166,F,V
167,F,C
168,F,C
169,F,V
170,F,C
171,F,V
172,F,C
173,F,C
174,F,V
175,F,C
176,F,V
177,F,C
178,F,V
179,F,C
180,F,C
181,F,C
182,F,C
183,F,C
184,F,V
185,F,V
186,F,V
187,F,V
188,F,V
189,F,C
190,F,C
191,F,C
192,F,C
193,F,V
194,F,C
195,F,C
196,F,C
197,F,C
198,F,V
199,F,V
200,F,C
201,F,V
202,F,C
203,F,C
204,F,V
205,F,C
206,F,V
207,F,V
208,F,V
209,F,V
210,F,V
211,F,C
212,F,V
213,F,V
214,F,C
215,F,V
216,F,C
217,F,C
218,F,C
219,F,C
220,F,V
221,F,V
222,F,C
223,F,V
224,F,V
225,F,V
226,F,V
227,F,V
