sn,date_died,date_inspected,eggs,L1,L2,L3
133,2023-01-30,2023-01-30,9,1,0,0
97,2023-01-30,2023-01-30,7,0,0,0
191,2023-01-30,2023-01-30,0,19,0,0
177,2023-01-30,2023-01-30,0,0,0,0
122,2023-01-30,2023-01-30,0,0,0,0
142,2023-01-30,2023-01-30,3,0,0,0
194,2023-01-30,2023-01-30,0,0,1,0
186,2023-02-03,2023-02-03,0,0,0,0
129,2023-02-03,2023-02-03,0,0,0,0
136,2023-02-03,2023-02-03,0,3,0,0
138,2023-02-01,2023-02-01,0,0,0,0
189,2023-02-01,2023-02-01,1,1,1,0
89,2023-02-03,2023-02-03,2,2,0,0
218,2023-02-03,2023-02-03,0,4,0,0
165,2023-02-01,2023-02-01,0,0,0,0
168,2023-02-01,2023-02-01,4,0,0,0
105,2023-02-01,2023-02-01,0,0,0,0
192,2023-02-01,2023-02-01,0,0,0,0
120,2023-02-13,2023-03-08,0,0,0,0
139,2023-02-13,2023-03-08,0,0,0,0
88,2023-02-13,2023-03-08,0,0,0,0
183,2023-02-13,2023-03-08,0,0,2,0
209,2023-02-13,2023-03-08,0,0,0,0
174,2023-02-13,2023-03-08,0,0,0,0
144,2023-02-15,2023-03-10,0,0,0,0
185,2023-02-15,2023-03-10,0,0,0,0
108,2023-02-15,2023-03-10,0,0,0,0
207,2023-02-15,2023-03-10,0,0,0,0
158,2023-02-20,2023-03-17,0,0,0,0
159,2023-03-13,2023-03-17,0,0,2,1
196,2023-02-24,2023-03-17,0,0,0,0
110,2023-03-17,2023-03-17,0,0,2,0
172,2023-02-24,2023-03-17,0,0,4,0
94,2023-02-24,2023-03-17,0,0,0,0
39,2023-02-24,2023-03-17,0,0,0,0
152,2023-02-20,2023-03-17,0,0,2,0
135,2023-02-24,2023-03-17,0,1,1,0
193,2023-02-06,2023-03-21,0,0,0,0
221,2023-02-06,2023-03-21,0,0,0,0
219,2023-02-06,2023-03-21,0,0,0,0
137,2023-02-06,2023-03-21,0,1,0,0
222,2023-02-06,2023-03-21,0,0,1,0
90,2023-03-03,2023-03-24,0,0,0,0
156,2023-03-03,2023-03-24,0,0,0,0
110,2023-03-17,2023-04-07,0,0,2,0
134,2023-03-17,2023-04-07,0,1,1,0
197,2023-03-17,2023-04-07,0,0,0,0
148,2023-03-20,2023-04-10,0,0,1,0
190,2023-03-20,2023-04-10,0,0,0,1
114,2023-03-22,2023-04-12,0,0,1,1
210,2023-03-31,2023-04-21,0,0,0,0
100,2023-04-03,2023-04-24,0,0,0,0
188,2023-04-03,2023-04-24,0,0,0,0
149,2023-03-30,2023-04-20,0,0,2,0
164,2023-03-30,2023-04-20,0,0,0,0
167,2023-03-30,2023-04-20,0,0,0,0
